,Id,path,speakerId,action,object,Self-reported fluency level ,First Language spoken,Current language used for work/school,gender,ageRange,action-object,zero_crossing,audio,duration,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,mfcc_41,mfcc_42,mfcc_43,mfcc_44,mfcc_45,mfcc_46,mfcc_47,mfcc_48,mfcc_49
0,0,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/0a3129c0-4474-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,change language,none,2,0,0,1,0,change language-none,9479,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -1.9318040e-06
  3.8942535e-06  0.0000000e+00]",1.857641723356009,-508.36096,55.00179,-28.398558,58.82986,-35.439373,5.9761825,-14.413787,2.7914712,-5.8634205,-6.898408,-1.4497693,-6.0535846,-2.1337557,-8.021719,0.036105562,-14.021687,5.120137,-12.067748,-6.652407,-0.046003826,-9.589537,-2.150645,-3.4306343,5.0493784,-2.2876995,5.315311,-3.7224422,-2.058517,-3.0167465,-9.006521,-1.1561475,0.8142138,10.051091,5.7990317,10.278422,3.097486,-2.476221,-2.4985452,-2.6686254,1.137739,-0.581765,0.31066442,-4.2087016,-1.4251913,-0.48825583,2.7159054,1.7528012,-0.46774375,-1.8075002,-1.1483269
1,1,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/0ee42a80-4474-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,activate,music,2,0,0,1,0,activate-music,6519,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -5.8157309e-07
  1.0317751e-06  0.0000000e+00]",1.3931972789115645,-595.743,80.64766,6.302678,34.304688,-7.010443,9.193946,-12.950762,1.781804,-6.467163,-5.943392,-4.6577454,-9.864026,-1.9165559,-8.835615,-4.0637803,-9.214926,-2.201957,-9.320792,-7.3841157,-6.376322,-8.036997,-2.7622879,-6.8199034,-3.5299132,-7.8181977,-1.9583967,-1.0137366,0.8802014,5.517758,6.327392,6.3801928,5.066904,5.245186,-1.4697679,0.13725352,0.3551173,0.3404673,0.5393873,-1.4927999,-1.0405562,-0.3197064,-0.39991596,-0.66330886,-1.6732494,-3.7821603,0.6880835,0.5958213,-1.4504676,-2.5250242,-0.8992876
2,2,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/1d9f3920-4474-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,deactivate,lights,2,0,0,1,0,deactivate-lights,9087,"[ 0.          0.          0.         ... -0.00063213 -0.00063566
  0.        ]",1.9505215419501134,-632.3232,117.935394,-6.7135935,11.537451,1.2240722,12.679172,-23.632793,-1.0485662,1.2429676,-0.29253128,-5.0315304,-5.736244,5.455654,-8.862136,-2.8517911,-7.4928603,-1.5963851,-6.1769342,-6.5064898,-1.4771433,-4.1264277,-0.69551647,-3.075199,0.1827133,-2.6324232,0.8796163,-1.3313246,-2.491386,0.12532246,1.6972603,6.06454,3.5357132,1.9928107,-2.9685683,-3.8321598,-1.3637043,1.6643686,2.27746,1.3073194,-0.40564275,-1.8423191,-0.26299432,-0.3067901,-0.4592296,-2.0102222,-0.5322396,-0.49620932,0.106127724,0.23839681,-1.5083882
3,3,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/269fc210-4474-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,increase,volume,2,0,0,1,0,increase-volume,7641,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.01197555e-04
 -8.70135264e-05  0.00000000e+00]",1.7647165532879818,-527.01025,93.09223,-21.026457,16.220224,-14.1954775,0.2781899,-3.4273047,-9.683366,-5.139887,-2.7952423,-1.6317028,-4.3243084,-4.468716,-7.3317,-5.6647305,-4.863215,-4.570913,-8.062628,-4.719793,-8.513862,-3.7390556,-4.1499677,-8.682371,-2.0092075,-8.086774,2.45277,5.4249535,2.4283333,6.353249,2.0983407,1.3241317,-0.17896077,-0.34006348,-1.4981855,0.9306923,1.509534,-0.27107027,-1.1053292,-2.1998243,-0.8795289,-0.8594496,0.099821895,-0.18644015,-0.42730406,-2.0969982,-0.9004597,0.7000343,-1.107997,-0.82998264,-1.3900288
4,4,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/5bbda3f0-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,increase,volume,2,0,0,1,0,increase-volume,13085,"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 8.1791969e-09 1.5708384e-08
 0.0000000e+00]",2.414875283446712,-667.8234,114.18368,10.975331,-2.496258,10.765616,8.129315,-7.5659018,-4.186486,2.409792,1.547232,-2.299047,-5.0926905,-2.2891107,-5.000788,-6.487605,-5.1743903,-2.9065084,-2.3418052,-2.721355,-2.5263033,-4.5538826,-5.390539,-5.6598215,-3.6207073,-0.212022,4.1281257,4.7461286,2.494212,1.5682799,-1.3473814,-1.1433017,1.6296353,4.445944,3.8320527,0.4593965,-0.977958,-1.3359097,0.19178954,0.12025782,-1.7443897,-3.1862054,-2.086069,0.13148548,-0.33695,-1.2538205,-1.0956298,-0.34685597,-0.92207104,-1.0575448,0.1766806
5,5,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/6436ad60-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,decrease,volume,2,0,0,1,0,decrease-volume,4423,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  9.7424333e-07
 -1.7658942e-07  0.0000000e+00]",2.2291609977324263,-631.59467,152.44414,25.37984,0.81701094,6.677769,9.292792,-11.875709,-10.721476,-0.3403838,2.061116,-4.098769,-11.18728,-5.444771,-6.32696,-8.371929,-11.442367,-9.388815,-6.5917263,-7.067798,-6.4821854,-7.9810095,-6.1471305,-7.299042,-6.4319267,-2.6355107,0.90000427,0.91262573,-0.38762188,2.4453413,2.2294328,3.378907,3.9574635,1.86836,-0.18415499,-0.25590563,1.6862739,2.9769845,3.6137273,0.79161054,-0.697278,-0.2823391,-0.61692375,-2.7241917,-3.5800247,-0.72535187,0.2694046,-0.6298363,-1.5112079,-0.43224257,-0.049547207
6,6,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/6a1cd6f0-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,increase,heat,2,0,0,1,0,increase-heat,4595,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -8.2684252e-05
 -1.0726406e-05  0.0000000e+00]",1.9505215419501134,-602.3225,158.62819,11.910759,0.12634248,14.818788,3.6830869,-16.989464,-5.9433794,4.5571675,-1.184408,-8.712583,-10.00192,-4.635903,-9.811532,-11.572508,-7.7730865,-4.7752624,-7.317897,-8.970867,-6.8094497,-7.2743134,-3.7716634,-2.487134,-2.805812,-1.2935903,1.3827747,0.24188086,-2.3345377,0.3025301,1.3741449,1.9962566,2.236734,2.5655382,2.3688715,2.4813504,3.6019764,2.6849744,1.315241,-1.4383687,-2.62319,-2.613523,-0.6327367,0.22649339,-2.966735,-2.9342887,-0.589612,1.6793323,1.0795963,-1.4258064,-1.5020932
7,7,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/72160200-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,increase,heat,2,0,0,1,0,increase-heat,11099,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -1.0056584e-07
 -3.3476601e-07  0.0000000e+00]",2.043401360544218,-657.2184,114.02101,8.633592,1.9347112,8.863024,2.4769626,-8.180465,-4.2112145,-0.64926,-0.83613646,-2.3433084,-7.468792,-4.0862517,-3.5874555,-6.1284795,-4.854412,-2.6242688,-4.766087,-6.291773,-5.083935,-5.81268,-3.4094129,-0.4894148,2.4271884,6.205827,8.624415,4.8747053,-0.78105325,-0.69289243,-1.4973794,-1.7269061,-0.816696,-1.5628465,-2.1445396,-1.1683114,-0.357861,-1.9132915,-1.6262276,-1.3812423,-2.7328453,-2.9536517,-2.6024683,-1.823061,-0.32588652,0.31738675,0.028919984,2.2727966,4.844959,3.5009995,0.65564424
8,8,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/74d262e0-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,decrease,heat,2,0,0,1,0,decrease-heat,4803,"[ 0.          0.          0.         ... -0.00173205 -0.00136145
  0.        ]",2.136281179138322,-567.6986,128.95537,24.102749,0.017279183,13.404806,-0.6635054,-16.256433,-8.0132475,1.7563734,-1.3873221,-7.842587,-8.782623,-5.6215615,-5.4658012,-9.164028,-9.670222,-7.354739,-8.178478,-9.540423,-8.069236,-6.6936536,-4.8701677,-1.5368261,-0.82611513,-2.2658772,-2.2089555,-2.6061954,-3.7384703,-2.2025237,0.6963819,2.8196387,4.985271,5.183677,1.9358478,-0.30399945,0.90933055,2.0701566,1.7208916,1.2943671,0.20604888,-1.1329881,-1.0303352,-1.145936,-2.138521,-1.3466545,0.29815686,-0.036007084,-0.998044,-0.77711856,-0.2152179
9,9,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/77cb5790-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,decrease,heat,2,0,0,1,0,decrease-heat,6899,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  4.2723568e-06
 -4.7529034e-06  0.0000000e+00]",2.3220408163265307,-595.9406,128.10231,18.42658,2.4557462,17.939898,0.17364289,-14.64751,-7.092769,-0.648105,-2.6386304,-6.6675396,-8.460634,-5.834728,-5.6066914,-10.121241,-9.474993,-5.234006,-6.703655,-9.22115,-8.155602,-7.1571207,-4.3792567,0.10464908,0.32014692,-1.2171812,-0.64909965,-2.1401596,-3.684212,1.2717286,7.394425,6.9806542,2.4353404,-2.2741606,-4.527363,-1.8440602,2.6018214,3.7532067,1.7741157,-0.9160468,-3.3526306,-4.1149306,-1.9732379,0.29204664,-0.2954231,-1.7164932,-0.74932134,1.9108156,2.3228068,-0.49145934,-2.392578
