,Id,path,speakerId,Self-reported fluency level ,First Language spoken,Current language used for work/school,gender,ageRange,rolloff_mean,rolloff_std,flux_mean,flux_std,centroid_mean,centroid_std,zcr_mean,zcr_std,duration,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,mfcc_41,mfcc_42,mfcc_43,mfcc_44,mfcc_45,mfcc_46,mfcc_47,mfcc_48,mfcc_49,chroma_cens_0,chroma_cens_1,chroma_cens_2,chroma_cens_3,chroma_cens_4,chroma_cens_5,chroma_cens_6,chroma_cens_7,chroma_cens_8,chroma_cens_9,chroma_cens_10,chroma_cens_11
0,0,dsl_data/audio/speakers/NgQEvO2x7Vh3xy2xz/f53ce6b0-45bf-11e9-8ec0-7bf21d1cfe30.wav,NgQEvO2x7Vh3xy2xz,3,0,0,0,0,665.8909009850544,1378.1505400719404,0.71563345,1.8389069,375.27759070238227,685.1802298168851,0.023618197278911564,0.15185643890268855,2.1333333333333333,-527.1573,85.48522,24.571247,8.7965555,7.0131483,-1.299461,-1.5125991,-1.9687225,-7.8711095,-4.0089726,4.440116,2.0225823,-3.2269013,-0.7517098,1.739519,-2.5114286,-5.771698,-3.1764371,-2.3678608,-5.021607,-4.776959,-3.17796,-3.7651374,-3.1449964,-1.1088842,-1.523542,-2.783684,-2.8768983,-2.1970425,-0.57073194,-0.779039,-2.5244477,-2.074744,-1.5067055,-2.1611288,-2.0304334,-2.0221064,-2.4783823,-2.2387173,-2.2192814,-2.658751,-2.2080994,-2.049466,-3.1086679,-3.0808742,-2.0118544,-2.0691094,-2.5898643,-2.0779665,-1.6779966,0.1216628,0.044391476,0.05397126,0.058716893,0.071084954,0.03828814,0.069116905,0.1615564,0.4285039,0.542786,0.53698784,0.33348384
1,1,dsl_data/audio/speakers/k5bqyxx2lzIbrlg9/1d5f80b0-4527-11e9-a843-8db76f4b5e29.wav,k5bqyxx2lzIbrlg9,3,0,0,0,0,3864.1465928819443,1621.3169377966422,1.559172,1.9443326,2023.6077908260681,1114.2492964836952,0.1340983210532673,0.34075792190932574,1.8773242630385487,-370.42245,70.73641,0.09344221,50.700577,-19.010069,-3.0764725,-40.345943,-17.07618,4.1169,-23.194452,-12.636521,-20.866716,-6.486041,-7.064291,-14.025457,-4.7657466,-7.9651504,-5.508674,0.47886956,-7.206638,-5.41297,1.8732944,-3.0657651,-6.4273334,-2.8020985,2.6565728,-3.874708,1.2073513,0.62681204,-6.7715726,-0.07071516,-2.6973512,-2.73,-3.5150375,-3.7191687,-2.8429184,-6.4380054,-5.254442,-4.661145,-4.6253715,-1.962565,-1.8219836,-2.9460196,0.80196637,3.8090384,7.6885943,8.557507,7.24764,5.1354613,3.6845956,0.3066587,0.3936915,0.5500059,0.40593275,0.16579488,0.12197346,0.11627031,0.1500137,0.1343209,0.15686509,0.18997124,0.20065491
2,2,dsl_data/audio/speakers/7B4XmNppyrCK977p/1c0d59c0-45cd-11e9-9992-dfba019cb646.wav,7B4XmNppyrCK977p,3,0,0,0,1,3919.768807057584,1737.8708298483343,1.4929594,3.0915194,2185.26187735688,993.4625043446322,0.18270998029185767,0.3864285747633146,2.048027210884354,-521.49554,93.5952,-45.410805,9.142069,6.6318035,-17.899538,-0.82578397,-8.483441,-16.2958,-3.9943392,-4.2683344,-5.5454755,-4.3847575,-5.988325,-4.0711193,-3.235104,-1.0268558,-7.5641007,-6.578737,-3.657175,-10.370097,-2.9639988,-1.4960909,-6.4576607,-3.409272,-3.0229595,-4.1256304,-3.3736367,-2.8951573,-4.2146373,-3.593553,-2.9119427,-2.7115352,-2.5675104,-2.9026346,-3.1568546,-3.2475963,-2.2344024,-2.337588,-1.048436,-1.9186702,-2.703855,0.52594644,0.6854793,1.2403166,3.0896935,2.257261,0.6306103,0.7565832,0.42193356,0.28464898,0.25331673,0.3576281,0.37188858,0.28915104,0.2115595,0.15469137,0.12622012,0.17224053,0.27295652,0.3342259,0.3385693
3,3,dsl_data/audio/speakers/k5bqyxx2lzIbrlg9/275c3960-4526-11e9-a843-8db76f4b5e29.wav,k5bqyxx2lzIbrlg9,3,0,0,0,0,4038.4326171875,1739.7987478026319,1.7374786,2.503413,2374.2978088337422,1191.1070037412856,0.1737378210806023,0.3788838748307546,1.0240362811791384,-431.34702,69.20493,2.8566701,25.79538,-47.3215,-6.014841,-34.026176,-11.601528,0.5316305,-17.022083,-0.44662178,-16.987175,-2.0797782,-0.25761372,-9.580922,-9.229519,-5.5608664,-4.248738,-4.7312922,-6.8169127,-7.217374,1.0132122,-1.2755412,-0.8475635,1.3671079,2.7593958,-3.0757766,3.310693,1.741678,-7.2396913,3.2987847,-3.201682,-1.6470867,0.81358796,-3.2405088,-1.7991675,-1.913437,-0.3788589,-3.0930305,0.28835797,-3.9642873,-3.8895698,-0.4285372,-4.0223184,-2.1047266,-2.4486415,0.8713132,2.9562662,5.155279,4.6186023,0.4341039,0.435161,0.39263663,0.23695159,0.141727,0.18538274,0.147567,0.18397367,0.22842538,0.18704017,0.24488895,0.31552073
4,4,dsl_data/audio/speakers/V4ZbwLm9G5irobWn/b7c7a180-4529-11e9-a843-8db76f4b5e29.wav,V4ZbwLm9G5irobWn,3,0,0,1,1,4842.166900634766,1444.2154994566763,1.5572848,1.9160414,2566.073684035088,691.6413844776797,0.18880690063978087,0.3913551518896625,2.2187301587301587,-384.82352,75.22811,-31.649582,37.71992,-14.539359,6.5343795,-12.564964,-4.6896567,-0.12902215,-4.1594377,-1.1030425,-4.5416694,-1.9656168,-6.189669,4.167395,-6.3948402,-0.51268464,-3.4349277,-3.147377,-1.2783732,-6.129476,-0.4190602,-6.9500713,0.4623783,-1.5085465,-1.1214042,-0.9865923,-0.9090603,1.4167145,-0.89142054,2.064184,-0.64955044,4.0892224,1.5064224,1.0066143,0.49468562,-2.841181,-0.5905077,-0.9948618,0.27630943,0.38811782,2.140812,0.2893708,0.68506837,-1.7911602,-2.8142292,-0.84152275,-2.3435597,-1.5545973,-3.2152188,0.25132105,0.19938028,0.17899734,0.23054653,0.27691194,0.2247603,0.18425046,0.21370955,0.28994462,0.2910476,0.4184455,0.42618975
5,5,dsl_data/audio/speakers/k5bqyxx2lzIbrlg9/8d017750-4529-11e9-a843-8db76f4b5e29.wav,k5bqyxx2lzIbrlg9,3,0,0,0,0,3653.413231693097,1660.7053629347872,1.3130648,1.7171296,1884.025985460036,990.1403848691347,0.12008030942750007,0.32505542406687493,1.5360090702947846,-383.10608,80.97221,1.6458409,22.339596,-23.106773,-12.718422,-34.111656,-6.317878,0.94913757,-19.950508,0.2973991,-10.442991,-7.795187,-3.1913495,-11.188906,-10.956596,-5.479789,-3.8017516,-5.645772,-5.0605726,-5.4806204,-1.5013171,-0.56149775,-4.4215155,-1.0410421,2.6825001,-0.8628094,4.0477076,0.056932427,-5.285318,0.929334,-1.7598221,-1.5616183,-1.3839805,-3.4463909,-1.7261497,-1.166003,-3.4311783,-1.5839536,-1.5297666,-2.5622034,2.3757098,-2.0080616,-3.393833,-2.677413,-3.5991216,-1.064196,-1.0839218,0.9468338,1.2423167,0.39620623,0.40147513,0.2959153,0.2270822,0.26937544,0.23579255,0.18896928,0.23187886,0.23399785,0.28358525,0.23600537,0.1988247
6,6,dsl_data/audio/speakers/V4ejqNL4xbUKkYrV/f8769fa0-4598-11e9-bf4b-216bfa333ac2.wav,V4ejqNL4xbUKkYrV,3,0,0,0,0,3781.38427734375,2125.3129618904613,0.9669078,1.7277626,1916.0991883542936,960.4882099665034,0.14165249433106575,0.3486933684211002,1.28,-488.40942,94.16539,-3.603787,14.135205,11.760228,-0.5372587,-6.2736773,-14.837729,-9.8307905,1.5476569,2.0173502,-0.3534663,7.23195,-0.3931994,-4.116658,4.25515,-5.047856,-5.351748,0.13552077,-3.8473651,-4.96145,-7.9325714,-3.4518332,-1.4342576,-3.5480514,1.0304432,-3.9281883,-4.072648,-0.12579076,-3.9557436,-1.2874229,-0.5457624,-1.4491245,0.51717615,-0.58433306,-0.640776,-0.5206544,-0.52779776,-1.2385131,-2.6452963,-1.6967896,-0.29800382,-0.9154024,-2.4835718,-1.8360609,-1.7836052,-2.4224842,-0.2254026,-0.39056948,-1.7584304,0.2765327,0.39519492,0.3091691,0.3670465,0.2570287,0.19081025,0.26568475,0.28456378,0.2363447,0.20050682,0.28498778,0.2624317
7,7,dsl_data/audio/speakers/NgQEvO2x7Vh3xy2xz/628b69b0-45bd-11e9-8ec0-7bf21d1cfe30.wav,NgQEvO2x7Vh3xy2xz,3,0,0,0,0,1289.979738609813,1946.6732940959932,1.1809611,2.0628207,843.3026219451262,1275.2915957346765,0.06346326534352265,0.24379433811198378,2.4746938775510205,-496.85715,72.94601,11.792618,10.471463,-9.444168,-5.151864,1.7220807,-3.3262067,-5.3900065,-2.0053,-1.5918136,-2.0510106,-0.9534286,-2.0549498,0.041944966,-5.945623,-3.8728986,1.9003229,-2.210128,-3.2936542,-3.4731135,-1.7362024,-1.2771928,-2.8376968,-1.9086819,0.3310345,-1.6184148,-1.9561657,0.30156595,-3.3317702,-2.3517587,-0.6484643,-2.2205572,0.07805343,0.945461,-1.5252063,-2.2084084,-0.3678245,0.16343197,-0.65356433,-2.6526997,-2.282596,-0.64189476,-1.4994429,-1.6962229,-1.8664817,-1.8899542,-0.57471174,-0.16592179,-1.9703223,0.2822425,0.2711641,0.19994551,0.21118419,0.20425797,0.18393034,0.16600034,0.178828,0.28509012,0.34774286,0.29654396,0.22319166
8,8,dsl_data/audio/speakers/4BrX8aDqK2cLZRYl/ec446bf0-452e-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,3,0,0,1,0,4384.532335069444,1387.9781355078155,1.2196559,2.0651379,2286.619391291131,1409.5045215659445,0.10791158352458026,0.3102687120316803,1.8773242630385487,-415.9822,39.892483,8.724605,41.954636,-8.488547,18.35127,-6.287441,4.92859,1.1990337,4.415918,0.26864502,-10.98949,1.7976617,-6.9936833,-2.76356,-6.0023904,-0.7180676,-5.1481104,-4.2145977,-3.179346,-4.3647184,-1.8633618,-5.2912817,-3.883641,-9.252473,-3.1926055,-7.2519703,-5.321963,-3.641608,-4.944755,5.036561,2.2426922,-0.63308835,-1.0707461,-2.6707158,-7.451834,-4.0504527,-1.0993658,-2.3006613,-1.5896668,-3.2636244,-3.2911131,-1.7000778,0.40647197,-2.7929318,-2.926267,-2.8933115,-0.87878853,0.7977123,-1.7914071,0.17849894,0.14150299,0.10143049,0.09859786,0.17754877,0.12273049,0.102802396,0.20326127,0.40698832,0.44298214,0.4062185,0.44792873
9,9,dsl_data/audio/speakers/aokxBz9LxXHzZzay/3d40c470-44cd-11e9-a8b6-e96f2628bf65.wav,aokxBz9LxXHzZzay,3,0,0,1,0,2939.5355583639707,1650.5284072800991,1.5015765,2.5204473,1608.3242121296473,988.9118623556585,0.09609616591876119,0.2947230781843782,1.9505215419501134,-443.96127,93.660355,-1.097184,10.687905,-20.351652,-17.978687,-8.64881,0.2586597,-10.401328,-10.7343855,-8.238539,-12.456764,-12.128856,-10.41084,-2.0474706,-11.125594,-5.5003233,-4.3067646,-7.4761124,-7.997337,-13.775592,-8.393658,-8.6500225,-5.865746,-6.540935,-6.7673297,-3.774372,-0.26591206,4.5444007,3.246541,4.0058546,2.1569595,0.7791361,-0.45480597,-1.7444106,-1.2684864,-1.4678661,-2.20569,-3.379349,-3.5055,-2.9869423,-1.9479618,-4.078802,-4.93554,-3.7472262,-2.9965763,-3.2326994,-2.7795014,-1.7306962,-1.3874276,0.15074469,0.08694169,0.14401671,0.028780933,0.108141854,0.11445025,0.122516215,0.23169443,0.2680698,0.5315609,0.56638545,0.38560843
