Id,Predicted
0,decreasevolume
1,deactivatelights
2,decreasevolume
3,activatemusic
4,deactivatelights
5,decreaseheat
6,decreaseheat
7,change language
8,decreasevolume
9,change language
10,decreasevolume
11,decreasevolume
12,increasevolume
13,decreasevolume
14,increaseheat
15,decreasevolume
16,decreaseheat
17,activatemusic
18,increaseheat
19,increasevolume
20,activatemusic
21,change language
22,increaseheat
23,increasevolume
24,decreaseheat
25,decreasevolume
26,decreasevolume
27,change language
28,increasevolume
29,change language
30,increasevolume
31,change language
32,decreasevolume
33,increaseheat
34,activatemusic
35,activatemusic
36,deactivatelights
37,increaseheat
38,increasevolume
39,decreasevolume
40,decreasevolume
41,decreasevolume
42,decreaseheat
43,activatemusic
44,decreaseheat
45,decreasevolume
46,decreasevolume
47,deactivatelights
48,decreasevolume
49,increasevolume
50,change language
51,activatemusic
52,increaseheat
53,decreasevolume
54,increasevolume
55,increasevolume
56,increasevolume
57,increaseheat
58,change language
59,increasevolume
60,decreasevolume
61,increasevolume
62,decreaseheat
63,decreasevolume
64,decreaseheat
65,increasevolume
66,decreasevolume
67,deactivatelights
68,decreaseheat
69,increaseheat
70,activatemusic
71,increasevolume
72,increasevolume
73,decreasevolume
74,deactivatelights
75,increasevolume
76,decreaseheat
77,deactivatelights
78,decreasevolume
79,increasevolume
80,activatemusic
81,decreasevolume
82,decreasevolume
83,decreasevolume
84,deactivatelights
85,increasevolume
86,change language
87,decreasevolume
88,activatemusic
89,activatemusic
90,increaseheat
91,decreaseheat
92,decreasevolume
93,increasevolume
94,activatemusic
95,decreasevolume
96,deactivatelights
97,decreasevolume
98,decreasevolume
99,change language
100,change language
101,deactivatelights
102,increasevolume
103,decreasevolume
104,increasevolume
105,decreasevolume
106,change language
107,increaseheat
108,increasevolume
109,increasevolume
110,decreasevolume
111,change language
112,change language
113,decreaseheat
114,decreasevolume
115,increasevolume
116,increasevolume
117,decreasevolume
118,decreasevolume
119,activatemusic
120,change language
121,increasevolume
122,decreasevolume
